"citation_number","citation_issued_datetime","violation","violation_desc","citation_location","vehicle_plate_state","vehicle_plate","fine_amount","date_added","the_geom",":@computed_region_jwn9_ihcz",":@computed_region_6qbp_sg9q",":@computed_region_qgnn_b9vv",":@computed_region_26cr_cadq",":@computed_region_ajp5_b2md"
"771857995","2009-10-27T15:36:00.000","T32A.1","TWAWY ZN#1","669 MISSION ST","CA","6ANP484","83","2009-10-27T00:00:00.000","POINT (-122.40131583199997 37.78670342300006)","32","32","1","10","8"
"771104246","2009-09-14T11:05:00.000","V5204A","REG TABS","7 GROVE ST","CA","5FEK647","63","2009-09-14T00:00:00.000","POINT (-122.41511664599994 37.77876024500006)","21","21","5","10","36"
"770561131","2009-09-10T15:30:00.000","T202","PRK METER","2851 24TH ST","CA","6DEG966","53","2009-09-10T00:00:00.000","POINT (-122.40919778399996 37.752743407000025)","53","53","3","2","20"
"770024076","2009-09-07T15:21:00.000","T202","PRK METER","417 BAY ST","CA","6DKY758","53","2009-09-07T00:00:00.000","POINT (-122.41413599899994 37.80540600300003)","106","106","6","3","23"
"770025093","2009-09-09T13:23:00.000","T58A","BLK WHEELS","136 LAWTON ST","CA","4JTL645","48","2009-09-09T00:00:00.000","POINT (-122.46446999799997 37.75869600400006)","109","109","10","8","14"
"770928653","2009-09-17T09:40:00.000","T37C","ST CLEANIN","2600 JACKSON ST","CA","5ZYR106","53","2009-09-17T00:00:00.000","POINT (-122.43808502399997 37.792236986000034)","102","102","4","6","30"
"770634815","2009-09-10T13:09:00.000","T37C","ST CLEANIN","39 CONKLING ST","CA","5MRT833","53","2009-09-10T00:00:00.000",,,,,,
"770611041","2009-09-09T10:26:00.000","T33.3","TRK LDG ZN","23 02ND ST","CA","7S57701","73","2009-09-09T00:00:00.000","POINT (-122.41963999999996 37.777120000000025)","21","21","4","10","36"
"771225652","2009-09-17T09:56:00.000","T37C","ST CLEANIN","3529 WASHINGTON BLVD","CA","5RWK075","53","2009-09-17T00:00:00.000",,,,,,
"770425110","2009-09-11T16:03:00.000","T202","PRK METER","530 HAYES ST","CA","6BQA217","53","2009-09-11T00:00:00.000","POINT (-122.42519303699999 37.77667024100003)","22","22","4","11","9"
"770595663","2009-09-08T11:06:00.000","T202","PRK METER","3219 SCOTT ST","CA","7V41487","53","2009-09-08T00:00:00.000","POINT (-122.44109839899994 37.79941490200008)","17","17","4","6","13"
"768791365","2009-09-15T09:26:00.000","T37C","ST CLEANIN","629 NORIEGA ST","MA","7170NA","53","2009-09-15T00:00:00.000",,,,,,
"770288024","2009-09-09T12:57:00.000","V22500H","DBL PARK","2987 CLAY ST","CA","6M18124","78","2009-09-09T00:00:00.000",,,,,,
"772900402","2009-10-26T06:34:00.000","T37C","ST CLEANIN","956 POST ST","CA","6APN572","53","2009-10-26T00:00:00.000","POINT (-122.41763100099996 37.78740800300005)","50","50","6","3","21"
